,Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,nationality
1132,92,Joel Obi,Torino,27,16(6),1201,5,2,3,0,0.7,81.7,1,1,6.89,Nigeria
1134,94,Mario Rui,Napoli,27,24(1),2088,2,4,8,1,0.3,87.8,0.7,1,6.88,Portugal
1136,111,Matias Vecino,Inter,26,25(4),2137,3,2,7,1,1.4,88.3,1.1,0,6.83,Uruguay
1138,140,Valon Behrami,Udinese,33,18(2),1407,1,1,5,0,0.5,82.3,0.9,0,6.77,Switzerland
1140,142,Diego Laxalt,Genoa,25,32,2810,3,3,2,0,1,72.0,0.6,0,6.77,Uruguay
1142,166,Karol Linetty,Sampdoria,23,21(8),2133,3,2,8,0,0.9,81.0,0.4,0,6.71,Poland
1144,172,Filip Helander,Bologna,25,27(2),2499,0,0,5,0,0.1,81.4,2.1,0,6.7,Sweden
1146,177,Alfred Gomis,SPAL 2013,24,25(1),2260,0,0,0,0,-,51.8,0.2,1,6.69,Senegal
1148,179,Bartosz Bereszynski,Sampdoria,25,28(3),2484,0,1,5,0,0.2,81.1,0.8,1,6.69,Poland
1150,200,Giancarlo Gonzalez,Bologna,30,22,1858,0,0,4,2,-,80.6,2.4,0,6.63,Costa Rica
1152,217,Stephan Lichtsteiner,Juventus,34,21(6),1715,0,2,6,0,0.1,82.2,0.9,0,6.59,Switzerland
1154,235,Dawid Kownacki,Sampdoria,21,6(16),811,5,1,0,0,1,75.4,1.4,0,6.51,Poland
1156,265,Emil Hallfredsson,Udinese,33,8(11),761,0,0,5,0,0.1,88.5,0.6,0,6.39,Iceland
1158,269,Marcus Rohden,Crotone,27,20(6),1637,2,0,2,0,0.8,67.6,0.8,0,6.35,Sweden
